antecedents,consequents,support,confidence,lift,leverage,conviction
frozenset({'juice'}),frozenset({'cookies'}),0.013897693470522261,0.19985974754558208,2.40947903757628,0.008129768847072498,1.1461149603391023
frozenset({'cookies'}),frozenset({'juice'}),0.013897693470522261,0.16754850088183423,2.4094790375762796,0.008129768847072498,1.1177381142280478
frozenset({'sandwich'}),frozenset({'soup'}),0.01102062710294046,0.10098302055406613,1.9778976146153144,0.005448737526096066,1.055535417717521
frozenset({'soup'}),frozenset({'sandwich'}),0.01102062710294046,0.21585482330468003,1.9778976146153142,0.005448737526096066,1.136098977402743
frozenset({'sandwich'}),frozenset({'juice'}),0.013312527429658166,0.1219839142091153,1.7542244941699352,0.005723688330727789,1.0597331687522824
frozenset({'juice'}),frozenset({'sandwich'}),0.013312527429658166,0.19144460028050495,1.7542244941699352,0.005723688330727789,1.1018002398943927
frozenset({'hot chocolate'}),frozenset({'cookies'}),0.012873652899010095,0.14497528830313017,1.7478002570442626,0.0055080212445206,1.0725452740278638
frozenset({'cookies'}),frozenset({'hot chocolate'}),0.012873652899010095,0.15520282186948856,1.7478002570442626,0.0055080212445206,1.0786033344894808
frozenset({'tea'}),frozenset({'soup'}),0.01653094065441069,0.08606245239908607,1.6856568398739809,0.006724116238329338,1.0383031810276164
frozenset({'soup'}),frozenset({'tea'}),0.01653094065441069,0.3237822349570201,1.6856568398739809,0.006724116238329338,1.194761937428559
"frozenset({'hot chocolate', 'coffee'})",frozenset({'cake'}),0.013946457307260936,0.259763851044505,1.6788456644720025,0.0056392867302400285,1.141895525125193
frozenset({'cake'}),"frozenset({'hot chocolate', 'coffee'})",0.013946457307260936,0.09013551843681059,1.6788456644720025,0.0056392867302400285,1.0400571018278602
"frozenset({'coffee', 'cake'})",frozenset({'hot chocolate'}),0.013946457307260936,0.14547304170905392,1.6382293609706584,0.005433328657803943,1.06632218499142
frozenset({'hot chocolate'}),"frozenset({'coffee', 'cake'})",0.013946457307260936,0.15705656232839102,1.6382293609706584,0.005433328657803943,1.0725871470915866
frozenset({'cake'}),"frozenset({'tea', 'coffee'})",0.021456088165016825,0.138670028364324,1.6231200180748813,0.008237048336732871,1.0618064947827959
"frozenset({'tea', 'coffee'})",frozenset({'cake'}),0.021456088165016825,0.2511415525114155,1.623120018074881,0.008237048336732871,1.128747827927882
frozenset({'pastry'}),frozenset({'medialuna'}),0.015506900082898522,0.1329987452948557,1.5279581343202273,0.0053581271979677575,1.053004879135902
frozenset({'medialuna'}),frozenset({'pastry'}),0.015506900082898522,0.17815126050420166,1.5279581343202273,0.0053581271979677575,1.0749005551797715
frozenset({'hot chocolate'}),frozenset({'cake'}),0.02087092212415273,0.2350356946732565,1.519028361381806,0.007131269425919238,1.1049827294453165
frozenset({'cake'}),frozenset({'hot chocolate'}),0.02087092212415273,0.13488811849984242,1.519028361381806,0.007131269425919238,1.0532753887494812
frozenset({'tea'}),frozenset({'scone'}),0.01443409567464768,0.07514597613607514,1.4874696260834874,0.0047303037977992745,1.02662759812832
frozenset({'scone'}),frozenset({'tea'}),0.01443409567464768,0.2857142857142857,1.4874696260834874,0.0047303037977992745,1.131086945920905
frozenset({'tea'}),frozenset({'cake'}),0.04296094016677232,0.22366082762122366,1.4455129505289737,0.013240735895305146,1.0887926000670447
frozenset({'cake'}),frozenset({'tea'}),0.04296094016677232,0.2776552158840214,1.4455129505289737,0.013240735895305146,1.118467613876537
frozenset({'cake'}),"frozenset({'tea', 'bread'})",0.010825571755985761,0.06996533249290891,1.4333457277043788,0.0032729125846888227,1.0227440252030544
"frozenset({'tea', 'bread'})",frozenset({'cake'}),0.010825571755985761,0.2217782217782218,1.4333457277043788,0.0032729125846888227,1.0861586885419945
frozenset({'juice'}),frozenset({'cake'}),0.01526308089920515,0.2194950911640954,1.418589925780682,0.00450374825358134,1.0829814604098764
frozenset({'cake'}),frozenset({'juice'}),0.01526308089920515,0.0986448156318941,1.418589925780682,0.00450374825358134,1.0322931347678994
