antecedents,consequents,support,confidence,lift,leverage,conviction
frozenset({'cake'}),"frozenset({'tea', 'coffee'})",0.010036978341257264,0.09664292980671414,1.9379773953825197,0.0048578785410368615,1.051779077016795
"frozenset({'tea', 'coffee'})",frozenset({'cake'}),0.010036978341257264,0.20127118644067796,1.9379773953825197,0.0048578785410368615,1.1219623883048115
frozenset({'hot chocolate'}),frozenset({'cake'}),0.011410459587955626,0.1956521739130435,1.883873678623557,0.005353546262274139,1.1141245841721277
frozenset({'cake'}),frozenset({'hot chocolate'}),0.011410459587955626,0.1098677517802645,1.883873678623557,0.005353546262274139,1.0579100747113426
frozenset({'tea'}),frozenset({'cake'}),0.02377179080824089,0.16666666666666669,1.6047812817904377,0.008958687566085076,1.0753724247226626
frozenset({'cake'}),frozenset({'tea'}),0.02377179080824089,0.2288911495422177,1.6047812817904374,0.008958687566085076,1.1118654060857458
frozenset({'coffee'}),frozenset({'toast'}),0.023666138404648707,0.04946996466431095,1.4724314954330286,0.007593310243846081,1.01669857840567
frozenset({'toast'}),frozenset({'coffee'}),0.023666138404648707,0.7044025157232704,1.4724314954330286,0.007593310243846081,1.7645817176383314
"frozenset({'coffee', 'bread'})",frozenset({'pastry'}),0.011199154780771263,0.12441314553990611,1.4448716840922837,0.003448186370170191,1.0437494423507518
frozenset({'pastry'}),"frozenset({'coffee', 'bread'})",0.011199154780771263,0.13006134969325153,1.4448716840922837,0.003448186370170191,1.0460325585242043
frozenset({'sandwich'}),frozenset({'tea'}),0.014368726888536715,0.2,1.4022222222222223,0.004121615795285492,1.0717115689381933
frozenset({'tea'}),frozenset({'sandwich'}),0.014368726888536715,0.10074074074074074,1.4022222222222223,0.004121615795285492,1.0321343439064063
frozenset({'tea'}),"frozenset({'coffee', 'cake'})",0.010036978341257264,0.07037037037037037,1.285821535821536,0.00223109077316295,1.0168265132812648
"frozenset({'coffee', 'cake'})",frozenset({'tea'}),0.010036978341257264,0.1833976833976834,1.2858215358215357,0.00223109077316295,1.049922633966873
frozenset({'coffee'}),frozenset({'spanish brunch'}),0.010882197569994718,0.022747349823321553,1.2517655004519679,0.0021887181874222297,1.0046816311059779
frozenset({'spanish brunch'}),frozenset({'coffee'}),0.010882197569994718,0.5988372093023255,1.2517655004519679,0.0021887181874222297,1.3002350383181362
frozenset({'medialuna'}),frozenset({'coffee'}),0.03518225039619651,0.5692307692307692,1.1898783636857841,0.00561431179849357,1.2108708776696098
frozenset({'coffee'}),frozenset({'medialuna'}),0.03518225039619651,0.07354240282685512,1.1898783636857841,0.00561431179849357,1.0126673328182936
frozenset({'pastry'}),frozenset({'coffee'}),0.04754358161648178,0.5521472392638037,1.154168202215526,0.006350641518827256,1.1646817040430137
frozenset({'coffee'}),frozenset({'pastry'}),0.04754358161648178,0.09938162544169611,1.154168202215526,0.006350641518827256,1.014739779788058
frozenset({'coffee'}),frozenset({'alfajores'}),0.0196513470681458,0.04107773851590106,1.1302348693401265,0.002264388303000825,1.0049360744559888
frozenset({'alfajores'}),frozenset({'coffee'}),0.0196513470681458,0.5406976744186046,1.1302348693401265,0.002264388303000825,1.1356483246069797
frozenset({'coffee'}),frozenset({'juice'}),0.020602218700475437,0.04306537102473498,1.11674996369621,0.0021538467549000982,1.004704860266589
